Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/VeraKali1/status/1722065202416431347,El.KaliVisegrád 24Reload,https://twitter.com/VeraKali1,2023-11-08,"Yeah, that's correct!The True can sometimes be so painful! ...Holy Moly. #Antisemitismus #NoAntisemitismus#ProIsrael#ProDemokratieDemokratic States are my Friends.And Israel is a Democratic State!""No"" Single-State for PalestiniaTwo Countries two States",,https://twitter.com/VeraKali1/status/1722065202416431347,False,1,,,10
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/Josseeb11/status/1721692603874164992,#JJO'CB,https://twitter.com/Josseeb11,2023-11-07,#Thousands attend #ProIsrael rally in #NewYorkCity as #IDF continues fighting #HamasTerrorists in #Gaza#AmericaStandswithIsrael,https://pbs.twimg.com/card_img/1721681266507153409/FqmAGPB1?format=jpg&name=small,https://twitter.com/Josseeb11/status/1721692603874164992,False,,,,74
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/IptvGlenn/status/1721894891981332762,WHITE PRIDE,https://twitter.com/IptvGlenn,2023-11-07,Police are investigating a brutal hate crime for the murder of a 60 year old man #proisrael •#israeladvocacy •#jewishlivesmatter •#freeisraelfromterror,https://pbs.twimg.com/media/F-VmRn_aYAA9jMj?format=jpg&name=small,https://twitter.com/IptvGlenn/status/1721894891981332762,False,1,,,47
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/WRapfogel/status/1719336414020514198,William RapfogelRitchie Torres,https://twitter.com/WRapfogel,2023-10-31,"@RitchieTorres was a #proIsrael city councilman in NYC for years because he is committed to Israel’s democracy, fairness & the bond between American & Israel. #StandWithIsrael #StandWithRitchie",https://pbs.twimg.com/media/F9xH6nTW4AA3GNl?format=jpg&name=small,https://twitter.com/WRapfogel/status/1719336414020514198,False,,,,60
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/Vinnie_Hope/status/1722182876408500300,LeipzigerAssita Kanko MEP,https://twitter.com/Vinnie_Hope,2023-11-08,Unvorstellbar. Ich bin sowas von 110% #ProIsrael!!  #israel,https://pbs.twimg.com/media/F-XD20DWoAA9DyW?format=jpg&name=small;https://pbs.twimg.com/media/F-XD20DW0AAVXa5?format=jpg&name=small,https://twitter.com/Vinnie_Hope/status/1722182876408500300,False,1,,2,293
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/JlemDateline/status/1722214929200279703,Jerusalem Dateline,https://twitter.com/JlemDateline,2023-11-08,"An elderly #Jewish man who was attending a #proIsrael rally died after a violent confrontation by pro-Palestinian protestors in Thousand Oaks, California, according to a statement from the Ventura County Sheriff's Department.",https://pbs.twimg.com/card_img/1721994701165711360/lVkY05pk?format=jpg&name=240x240,https://twitter.com/JlemDateline/status/1722214929200279703,False,,3,8,852
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/WashingtonViews/status/1721529697522110893,Washington Views,https://twitter.com/WashingtonViews,2023-11-06,2002 Flashback: Large pro-Israel Rally in Washington DC https://c-span.org/video/?169610-1/national-rally-israel… #Israel #ProIsrael #USIsrael,https://pbs.twimg.com/card_img/1721529604744122368/vBxbkgr9?format=jpg&name=small,https://twitter.com/WashingtonViews/status/1721529697522110893,False,,,,42
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/VHill1986/status/1720875588523598078,Vincent,https://twitter.com/VHill1986,2023-11-04,"To many. River to sea, we will always be free #proIsraël",,https://twitter.com/VHill1986/status/1720875588523598078,False,,,,9
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/rashidsultan/status/1720477117291360384,Rashid Sultan,https://twitter.com/rashidsultan,2023-11-03,I’m surprised but not surprised that @Bing #ChatGPT is #ProIsrael. @Microsoft should stay neutral.,,https://twitter.com/rashidsultan/status/1720477117291360384,False,,,1,29
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/GoVictoryTV/status/1722000356329042332,The Victory ChannelReload,https://twitter.com/GoVictoryTV,2023-11-07,Anti-Semitic Protesters Take Life Of Elderly Man In Los Angeles. #VictoryNews #PalestinianMob #ProPalestineProtest #ProIsrael #LosAngeles,,https://twitter.com/GoVictoryTV/status/1722000356329042332,False,,3,11,295
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/PuckNews/status/1719825137359282461/,Puck,https://twitter.com/PuckNews,,"Foreign policy insiders are increasingly discussing the thresholds for retaliation, particularly under the covenants of international law. What does that mean for Israel—and Hamas?@juliaioffe explores in conversation with David Scheffer.",https://pbs.twimg.com/media/F94KxwwWcAAHTbF?format=jpg&name=small,https://twitter.com/PuckNews/status/1719825137359282461/,True,20,26,62,62K
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/reshad_kbd/status/1721972182589555054,Sky Buzz Feed,https://twitter.com/reshad_kbd,2023-11-07,A 69-years-old Jewish Man Dies After Confrontation at Pro-Israel and Pro-Palestinian Rallies in California. - Sky Buzz Feed https://skybuzzfeed.com/jewish-man-dies-california/… #California #VenturaCounty #PaulKessler #TragicDeath #Homicide #DuelingRallies #ProIsrael #ProPalestine #ThousandOaks #VenturaSherif,https://pbs.twimg.com/card_img/1721972081477468164/OsXj1-nl?format=jpg&name=small,https://twitter.com/reshad_kbd/status/1721972182589555054,False,,,,199
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/1776Againn/status/1722263165231300679,Dennis Chamberlin,https://twitter.com/1776Againn,2023-11-08,I support Israeli Autonomy from the river to the sea! #ProIsrael #EndHamasForever,,https://twitter.com/1776Againn/status/1722263165231300679,False,,,,6
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/Arsinnius/status/1720642145709629680,Norbert Pierre,https://twitter.com/Arsinnius,2023-11-04,"@abbydphillip #BlackLivesMatter I saw your interview of Sen. #JeffMerkley. I was so moved I nominated you for the #ProIsraelAuntJemima Award. No, no. Don't thank me. You've earned it. You are truly #ProIsrael and an #AuntJemima. No self-respect at all. Congratulations!",,https://twitter.com/Arsinnius/status/1720642145709629680,False,,,1,19
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/gdonovan9222/status/1719694140277977285,Gerard Donovan,https://twitter.com/gdonovan9222,2023-11-01,"#profaith, #profamily, #proAmerica and #proIsrael revival.  Repost",,https://twitter.com/gdonovan9222/status/1719694140277977285,False,,,,17
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/JuriKowski/status/1719759715146559881,Juri Kowski,https://twitter.com/JuriKowski,2023-11-01,"I always thought Harvard is a kind of elite, but now I know, most of the students there are only rubbish. #ProIsrael",,https://twitter.com/JuriKowski/status/1719759715146559881,False,,,,15
