Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,UTC_Time,Tweet_Content,Tweet_Image_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&amp;Comment,Pro Palestine,https://twitter.com/byhilliard/status/1720971439447118038,Hilliard,https://twitter.com/byhilliard,2023-11-05T01:08:59.000Z,Pro-Palestine rioters try to break down the White House gate. Deport them all.,,False,5,46,78,4.6K
Post&amp;Comment,Pro Palestine,https://twitter.com/FrontalForce/status/1721082738374254733,Frontalforce ,https://twitter.com/FrontalForce,2023-11-05T08:31:15.000Z,"Shameful day for US as pro-Palestine protestors Vandalise National monuments of America including Andrew Jackson statue, The General Marquis de Lafayette Statue, Benjamin Franklin statue.And even tried to breach The White House",,False,18,81,321,12K
Post&amp;Comment,Pro Palestine,https://twitter.com/Glazertwalker/status/1722008504007803091,Robin Faustino-Stirling,https://twitter.com/Glazertwalker,2023-11-07T21:49:55.000Z,It is incomprehensible that this man lives in the UK.No current politician will do anything about it.Former Hamas chief ‘behind pro-Palestine Armistice Day protests’,https://pbs.twimg.com/card_img/1721657253432840192/nvVBfQz-?format=jpg&name=small,False,10,28,58,966
Post&amp;Comment,Pro Palestine,https://twitter.com/KulganofCrydee/status/1721795976480866738,KulganofCrydee,https://twitter.com/KulganofCrydee,2023-11-07T07:45:24.000Z,Met Police demand pro-Palestine protesters 'urgently reconsider' Remembrance Day march,https://pbs.twimg.com/card_img/1721592822023774208/suSGN_5Z?format=jpg&name=small,False,49,23,52,2K
Post&amp;Comment,Pro Palestine,https://twitter.com/WorldByWolf/status/1721829677478608913,Wolf ,https://twitter.com/WorldByWolf,2023-11-07T09:59:19.000Z,It’s being reported across all the newspapers.,https://pbs.twimg.com/card_img/1721709286253076480/yhFtfioP?format=jpg&name=small,False,4,4,13,1K
Post&amp;Comment,Pro Palestine,https://twitter.com/SamQari/status/1720226291792638139,Sam Seeker,https://twitter.com/SamQari,2023-11-02T23:48:02.000Z,"Oh Zionist Apologists, just know that when half of the Pro-Palestine folk go to sleep the other half of us wake up and carry on where they left off.You guys will get NO break from us.#freepalestine",,False,7,64,220,4.7K
Post&amp;Comment,Pro Palestine,https://twitter.com/JeremyAppel1025/status/1721240865178521905,Jeremy Appel - @jeremyappel.bsky.social,https://twitter.com/JeremyAppel1025,2023-11-05T18:59:36.000Z,Interesting that the very people who gave a standing ovation to a literal Nazi in Parliament and their apologists are now blaming pro-Palestine protests for antisemitism.,,False,18,241,724,19K
Post&amp;Comment,Pro Palestine,https://twitter.com/raviagrawal3/status/1721537246187364503,Izlamic Terrorist,https://twitter.com/raviagrawal3,2023-11-06T14:37:18.000Z,"USA Palestine IsraelMuslim protesters at a pro-Palestine terrorist Hamas rally in Washington DC: ""My message to President Biden is, I voted for you, and I regret it"".",,False,6,52,96,2.4K
Post&amp;Comment,Pro Palestine,https://twitter.com/NuraMuh75683531/status/1721185973512417540,Nura Muhammad,https://twitter.com/NuraMuh75683531,2023-11-05T15:21:28.000Z,Another pro-palestine  from radio Canada  montreal with thousands of people all about free palestine  cease-fire #GazaGenocide #Hamburg #Genocide_in_Gaza #CeasefireForGazaNOW #FreePalestineNow #Israel #GazaGenocide #PalestinianLivesMatter,,False,30,34,70,12K
Post&amp;Comment,Pro Palestine,https://twitter.com/byhilliard/status/1720971439447118038,HilliardReload,https://twitter.com/byhilliard,2023-11-05T01:08:59.000Z,Pro-Palestine rioters try to break down the White House gate. Deport them all.,,False,5,46,78,4.6K
Post&amp;Comment,Pro Palestine,https://twitter.com/FrontalForce/status/1721082738374254733,Frontalforce Reload,https://twitter.com/FrontalForce,2023-11-05T08:31:15.000Z,"Shameful day for US as pro-Palestine protestors Vandalise National monuments of America including Andrew Jackson statue, The General Marquis de Lafayette Statue, Benjamin Franklin statue.And even tried to breach The White House",,False,18,81,321,12K
